X,Y,OBJECTID_1,OBJECTID,TYPE,ELEV
-71.049325039315477,42.351020729166756,1280,11647,PARKING-METER,0
-71.049435107991272,42.351092026126928,1281,11648,PARKING-METER,0
-71.051206146337947,42.346727945946199,1282,11678,PARKING-METER,0
-71.051134318272304,42.3468236161359,1283,11679,PARKING-METER,0
-71.051695537288595,42.346083375969776,1284,11680,PARKING-METER,0
-71.052596959682816,42.35283955249696,1285,11689,PARKING-METER,0
-71.053603896082791,42.354876475866028,1286,11695,PARKING-METER,0
-71.05354831694163,42.355768292356423,1287,11700,PARKING-METER,0
-71.052954113238926,42.356392393272209,1288,11701,PARKING-METER,0
-71.053718824927614,42.355600498839998,1289,11703,PARKING-METER,0
-71.053630981716296,42.355683397060233,1290,11704,PARKING-METER,0
-71.053568023281471,42.35557652665311,1291,11705,PARKING-METER,0
-71.053484363028772,42.355661621506542,1292,11706,PARKING-METER,0
-71.053652312480111,42.355495502596419,1293,11707,PARKING-METER,0
-71.053736133093466,42.355414627007676,1294,11708,PARKING-METER,0
-71.053823260339868,42.355333866819556,1295,11709,PARKING-METER,0
-71.05297500987453,42.356682652796131,1296,11711,PARKING-METER,0
-71.051899261316123,42.35657553680727,1297,11753,PARKING-METER,0
-71.052043847939515,42.356545607224895,1298,11754,PARKING-METER,0
-71.052194998282602,42.356514220239845,1299,11755,PARKING-METER,0
-71.052340060580292,42.356484958353583,1300,11756,PARKING-METER,0
-71.052478624889361,42.35645554675812,1301,11757,PARKING-METER,0
-71.050881098612024,42.35746506459698,1302,11804,PARKING-METER,0
-71.052128060593375,42.357279813961227,1303,11806,PARKING-METER,0
-71.052894725966496,42.35659077837051,1304,11807,PARKING-METER,0
-71.053340035072011,42.356225563548556,1305,11831,PARKING-METER,0
-71.053443338685994,42.356298999963848,1306,11832,PARKING-METER,0
-71.051947050296874,42.356671868720007,1307,11833,PARKING-METER,0
-71.052084319573737,42.356643206997198,1308,11834,PARKING-METER,0
-71.052214439924896,42.356618898092748,1309,11835,PARKING-METER,0
-71.052698733539515,42.35650977055591,1310,11836,PARKING-METER,0
-71.052621576331248,42.356530433709423,1311,11837,PARKING-METER,0
-71.052480006119382,42.356562122320362,1312,11838,PARKING-METER,0
-71.05282012709506,42.356506406512885,1313,11839,PARKING-METER,0
-71.052959938207124,42.356482611602615,1314,11840,PARKING-METER,0
-71.053766635161978,42.355555920075517,1315,11842,PARKING-METER,0
-71.054320258698027,42.355611692822123,1316,11844,PARKING-METER,0
-71.054185632134448,42.355305077306959,1317,11845,PARKING-METER,0
-71.054273169978245,42.355392831329631,1318,11846,PARKING-METER,0
-71.02751538715755,42.344902668147128,1319,12799,PARKING-METER,0
-71.029186308244718,42.344835389279758,1320,12807,PARKING-METER,0
-71.02966430933472,42.344829269930877,1321,12808,PARKING-METER,0
-71.124559461602317,42.353372416358695,1322,14251,PARKING-METER,0
-71.124772132384521,42.353398025969398,1323,14252,PARKING-METER,0
-71.124698334891391,42.353387138338455,1324,14253,PARKING-METER,0
-71.124858818446867,42.353491094299443,1325,14254,PARKING-METER,0
-71.124834822020716,42.353597322953135,1326,14255,PARKING-METER,0
-71.124809047617418,42.353704934043201,1327,14256,PARKING-METER,0
-71.12478821228818,42.353815161272834,1328,14257,PARKING-METER,0
-71.124763086429169,42.353924112292212,1329,14258,PARKING-METER,0
-71.124742165005728,42.354031639263496,1330,14259,PARKING-METER,0
-71.124717604186998,42.354139229075834,1331,14260,PARKING-METER,0
-71.123824430951998,42.354134328398821,1332,14261,PARKING-METER,0
-71.123973691987288,42.354151124378461,1333,14262,PARKING-METER,0
-71.124116884732672,42.354168023668755,1334,14263,PARKING-METER,0
-71.124246051967688,42.354182912524386,1335,14264,PARKING-METER,0
-71.124381936347476,42.354199036763482,1336,14265,PARKING-METER,0
-71.124536163081302,42.354219348551482,1337,14266,PARKING-METER,0
-71.123684201571422,42.35411512650095,1338,14267,PARKING-METER,0
-71.123474577923687,42.354089912889989,1339,14268,PARKING-METER,0
-71.124925841882458,42.353166848122747,1340,14270,PARKING-METER,0
-71.125437211529771,42.353368709289057,1341,14272,PARKING-METER,0
-71.128582087903609,42.350197095019311,1342,14332,PARKING-METER,0
-71.128616573456256,42.350199540850831,1343,14333,PARKING-METER,0
-71.128785754152474,42.35021080596529,1344,14334,PARKING-METER,0
-71.12886673366846,42.350218204845383,1345,14335,PARKING-METER,0
-71.129004313299802,42.350231055682038,1346,14336,PARKING-METER,0
-71.128929262088988,42.350222529962046,1347,14337,PARKING-METER,0
-71.129212808247374,42.350252165617675,1348,14338,PARKING-METER,0
-71.129293406116972,42.350261952332453,1349,14339,PARKING-METER,0
-71.129594292102851,42.350458010888353,1350,14340,PARKING-METER,0
-71.129441571085238,42.350445091261392,1351,14341,PARKING-METER,0
-71.129372042225469,42.350437148108419,1352,14342,PARKING-METER,0
-71.129299293825198,42.350428921746989,1353,14343,PARKING-METER,0
-71.129227932089506,42.350421011310424,1354,14344,PARKING-METER,0
-71.129166231478919,42.350413948547931,1355,14345,PARKING-METER,0
-71.129521991122715,42.350449436797213,1356,14346,PARKING-METER,0
-71.128826640579405,42.350381912678586,1357,14347,PARKING-METER,0
-71.128756754017431,42.350377037982845,1358,14348,PARKING-METER,0
-71.128683155012581,42.350370868345443,1359,14349,PARKING-METER,0
-71.128606357963022,42.35036509616274,1360,14350,PARKING-METER,0
-71.128546088319681,42.350359709524859,1361,14351,PARKING-METER,0
-71.130173577128616,42.350823289498486,1362,14360,PARKING-METER,0
-71.130548584517655,42.352937902883667,1363,14395,PARKING-METER,0
-71.131981892922681,42.35227090368361,1364,14423,PARKING-METER,0
-71.130170173620726,42.349216833990283,1365,14442,PARKING-METER,0
-71.130260360178397,42.349303391494288,1366,14443,PARKING-METER,0
-71.130352403924448,42.349390368127914,1367,14444,PARKING-METER,0
-71.13044076877442,42.349477415688561,1368,14445,PARKING-METER,0
